시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
어린이집,푸른들어린이집,전라남도 강진군 강진읍 고성길 22,전라남도 강진군 강진읍 서성리 80-6,34.6392623,126.7616677837,전라남도 강진군청,강진경찰서,Y,2,3,2020-02-10,4920000,전라남도 강진군
초등학교,일월초등학교(청기분교),경상북도 영양군 청기면 장갈로 1445,,36.69967916,129.0583429,영양군,영양경찰서,N,0,6m,2019-09-30,5170000,경상북도 영양군
초등학교,영양중앙초교,경상북도 영양군 영양읍 영양창수로 53,,36.66393015,129.1200882,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
초등학교,영양초교,경상북도 영양군 영양읍 군청길 25,,36.66618465,129.1106396,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
초등학교,수비초등,경상북도 영양군 수비면 한티로 499,,36.76613655,129.2012543,영양군,영양경찰서,Y,1,5~6m,2019-09-30,5170000,경상북도 영양군
초등학교,석보초등,경상북도 영양군 석보면 원리길 3,,36.55842104,129.1230841,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
초등학교,입암초교,경상북도 영양군 입암면 입암로 162,,36.59971779,129.0873907,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
초등학교,일월초교,경상북도 영양군 일월면 영양로 2396-9,,36.70121039,129.1264155,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
유치원,수비초교병설유치원,경상북도 영양군 수비면 한티로 499,,36.76613655,129.2012543,영양군,영양경찰서,Y,1,5~6m,2019-09-30,5170000,경상북도 영양군
유치원,석보초교병설유치원,경상북도 영양군 석보면 원리길 3,,36.55842104,129.1230841,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
유치원,영양중앙초교병설유치원,경상북도 영양군 영양읍 영양창수로 53,,36.66393015,129.1200882,영양군,영양경찰서,Y,1,6.36m,2019-09-30,5170000,경상북도 영양군
유치원,영양초교병설유치원,경상북도 영양군 영양읍 군청길 25,,36.66618465,129.1106396,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
유치원,입암초교병설유치원,경상북도 영양군 입암면 입암로 162,,36.59971779,129.0873907,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
유치원,일월초교병설유치원,경상북도 영양군 일월면 영양로 2410,,36.70164626,129.1278373,영양군,영양경찰서,Y,1,6m,2019-09-30,5170000,경상북도 영양군
어린이집,하늘어린이집,서울특별시 강서구 초록마을로 106(화곡본동),,37.5390053402,126.8514134279,서울특별시 강서구청,강서경찰서,N,,,2020-01-01,3150000,서울특별시 강서구
초등학교,풍북초교,경상북도 안동시 풍산읍 괴정2길 21-14,경상북도 안동시 풍산읍 괴정리 569,36.59761551,128.5345227,안동시청,안동경찰서,Y,2,8,2020-03-21,5070000,경상북도 안동시
초등학교,임하초교,경상북도 안동시 임하면 앞산밑길 9,경상북도 안동시 임하면 신덕리 467,36.5264918,128.8280838,안동시청,안동경찰서,Y,4,8,2020-03-21,5070000,경상북도 안동시
초등학교,임동초교,경상북도 안동시 임동면 편항길 42,경상북도 안동시 임동면 중평리 949,36.570135,128.9207879,안동시청,안동경찰서,Y,2,8,2020-03-21,5070000,경상북도 안동시
